,time,B-03유입,B-03유출,B-37유입,B-37유출,C-16유입,C-16유출,C-17유입,C-17유출,C-18유입,C-18유출,C-19유입,C-19유출,C-20유입,C-20유출,C-21유입,C-21유출,D-05유입,D-05유출,D-07유입,D-07유출,F-05유입,F-05유출,value
1262,2022-02-22 15:00:00,632.0,746.0,3447.0,4282.0,3451.0,3550.0,3664.0,3380.0,2408.0,2892.0,2289.0,1631.0,1600.0,2044.0,441.0,364.0,2263.0,2558.0,1475.0,2036.0,3010.0,4382.0,13.57
1263,2022-02-22 16:00:00,652.0,765.0,3734.0,4726.0,3935.0,3269.0,3692.0,3426.0,2414.0,2738.0,2452.0,1578.0,1661.0,2268.0,534.0,457.0,2366.0,2396.0,1498.0,2172.0,3036.0,4358.0,13.1
1264,2022-02-22 17:00:00,671.0,1104.0,3664.0,4649.0,4111.0,3316.0,3535.0,3463.0,2632.0,2839.0,2795.0,1788.0,1861.0,2113.0,706.0,456.0,2457.0,2533.0,1539.0,2447.0,2377.0,4284.0,13.53
1265,2022-02-22 18:00:00,709.0,1329.0,3388.0,4552.0,3918.0,3075.0,3222.0,3505.0,2793.0,3347.0,2765.0,1985.0,2059.0,1961.0,955.0,496.0,2352.0,2539.0,1275.0,2629.0,2128.0,4098.0,13.55
1266,2022-02-22 19:00:00,484.0,945.0,2377.0,4385.0,4014.0,2417.0,3494.0,2852.0,2498.0,3357.0,2021.0,1634.0,1364.0,2148.0,585.0,290.0,1797.0,2260.0,1119.0,2457.0,2105.0,4113.0,15.18
1267,2022-02-22 20:00:00,473.0,576.0,1837.0,3417.0,3277.0,2326.0,2820.0,2588.0,2224.0,2396.0,1309.0,1044.0,1118.0,1572.0,312.0,191.0,1548.0,1657.0,1151.0,1960.0,2405.0,4014.0,16.55
1268,2022-02-22 21:00:00,470.0,478.0,1711.0,3218.0,2963.0,2474.0,2714.0,2440.0,2113.0,2314.0,1150.0,1028.0,988.0,1504.0,288.0,191.0,1555.0,1450.0,1182.0,1775.0,2466.0,4124.0,16.13
1269,2022-02-22 22:00:00,278.0,338.0,1447.0,2853.0,2902.0,1849.0,2606.0,2127.0,1867.0,1868.0,950.0,738.0,964.0,1398.0,237.0,104.0,1185.0,1281.0,910.0,1661.0,2301.0,4329.0,19.34
1270,2022-02-22 23:00:00,222.0,209.0,869.0,1689.0,1497.0,1498.0,1343.0,1209.0,1114.0,1310.0,453.0,384.0,552.0,731.0,130.0,77.0,772.0,777.0,830.0,1024.0,1533.0,2926.0,18.86
1271,2022-02-23 00:00:00,105.0,85.0,507.0,975.0,1031.0,1106.0,882.0,767.0,693.0,864.0,260.0,270.0,377.0,471.0,109.0,58.0,568.0,552.0,565.0,804.0,1015.0,1805.0,20.37
