time,B-03유입,B-03유출,B-37유입,B-37유출,C-16유입,C-16유출,C-17유입,C-17유출,C-18유입,C-18유출,C-19유입,C-19유출,C-20유입,C-20유출,C-21유입,C-21유출,D-05유입,D-05유출,D-07유입,D-07유출,F-05유입,F-05유출
2022-01-01 00:00:00,144.0,156.0,642.0,,1235.0,1091.0,1021.0,972.0,1146.0,1059.0,425.0,353.0,565.0,809.0,149.0,84.0,652.0,743.0,603.0,997.0,1307.0,2045.0
2022-01-01 01:00:00,97.0,155.0,622.0,,885.0,886.0,1045.0,1107.0,735.0,805.0,390.0,332.0,497.0,790.0,156.0,95.0,708.0,661.0,593.0,734.0,1417.0,2099.0
2022-01-01 02:00:00,87.0,89.0,295.0,,581.0,626.0,496.0,447.0,402.0,443.0,182.0,141.0,304.0,450.0,61.0,54.0,396.0,410.0,382.0,499.0,718.0,1199.0
2022-01-01 03:00:00,57.0,68.0,262.0,,480.0,457.0,364.0,356.0,298.0,340.0,117.0,120.0,232.0,340.0,46.0,23.0,286.0,306.0,255.0,341.0,517.0,833.0
2022-01-01 04:00:00,60.0,76.0,292.0,,372.0,429.0,367.0,329.0,265.0,325.0,123.0,122.0,191.0,358.0,35.0,26.0,270.0,260.0,252.0,297.0,621.0,775.0
2022-01-01 05:00:00,133.0,162.0,503.0,,409.0,630.0,508.0,494.0,390.0,510.0,224.0,196.0,264.0,392.0,64.0,42.0,326.0,355.0,342.0,328.0,1056.0,910.0
2022-01-01 06:00:00,198.0,260.0,898.0,,602.0,820.0,777.0,755.0,710.0,968.0,338.0,335.0,495.0,633.0,107.0,65.0,530.0,441.0,418.0,354.0,1572.0,1029.0
2022-01-01 07:00:00,240.0,380.0,1074.0,,838.0,1125.0,1076.0,1112.0,772.0,1022.0,474.0,407.0,541.0,764.0,211.0,122.0,615.0,670.0,533.0,422.0,1847.0,1321.0
2022-01-01 08:00:00,441.0,274.0,1697.0,,1126.0,1879.0,1557.0,1650.0,813.0,1329.0,632.0,731.0,687.0,1039.0,187.0,171.0,797.0,939.0,749.0,634.0,2214.0,2178.0
2022-01-01 09:00:00,372.0,354.0,2176.0,,1449.0,1995.0,2446.0,2362.0,1033.0,1582.0,812.0,928.0,836.0,1190.0,183.0,160.0,1035.0,1070.0,866.0,807.0,2804.0,2805.0
2022-01-01 10:00:00,454.0,440.0,2534.0,,1769.0,1981.0,3282.0,3013.0,1455.0,1788.0,1177.0,962.0,1043.0,1618.0,279.0,187.0,1300.0,1381.0,1115.0,1070.0,3555.0,3453.0
2022-01-01 11:00:00,639.0,638.0,3249.0,,2036.0,2429.0,3435.0,3455.0,1814.0,2077.0,1411.0,1324.0,1308.0,1991.0,368.0,282.0,1484.0,1626.0,1267.0,1386.0,3822.0,4149.0
2022-01-01 12:00:00,550.0,672.0,3546.0,,2338.0,2674.0,3226.0,3007.0,1892.0,2307.0,1443.0,1556.0,1384.0,2151.0,326.0,261.0,1454.0,1775.0,1336.0,1541.0,3927.0,4086.0
2022-01-01 13:00:00,613.0,701.0,3218.0,,2501.0,2402.0,3241.0,2999.0,1861.0,2056.0,1569.0,1425.0,1457.0,1929.0,382.0,267.0,1598.0,1791.0,1351.0,1478.0,3551.0,3905.0
2022-01-01 14:00:00,603.0,721.0,3440.0,,2337.0,2511.0,3119.0,3277.0,1719.0,2167.0,1656.0,1362.0,1492.0,1944.0,361.0,306.0,1647.0,1778.0,1355.0,1396.0,3763.0,3947.0
2022-01-01 15:00:00,629.0,692.0,3577.0,,2269.0,2619.0,3209.0,3244.0,1878.0,2260.0,1652.0,1404.0,1438.0,1901.0,365.0,281.0,1607.0,1812.0,1228.0,1481.0,3681.0,3929.0
2022-01-01 16:00:00,635.0,588.0,4068.0,,2260.0,2628.0,3212.0,2937.0,1830.0,2311.0,1646.0,1516.0,1559.0,1790.0,388.0,302.0,1503.0,2040.0,1223.0,1579.0,3454.0,4061.0
2022-01-01 17:00:00,515.0,554.0,3797.0,,2162.0,2689.0,2897.0,2705.0,1879.0,2201.0,1528.0,1343.0,1399.0,1591.0,388.0,249.0,1463.0,1869.0,1219.0,1592.0,3358.0,3984.0
2022-01-01 18:00:00,499.0,459.0,2962.0,,1932.0,2129.0,2600.0,2277.0,1800.0,2000.0,1354.0,957.0,1273.0,1494.0,375.0,242.0,1281.0,1738.0,953.0,1376.0,2968.0,3305.0
2022-01-01 19:00:00,317.0,298.0,2401.0,,1681.0,1724.0,2207.0,2189.0,1685.0,1798.0,1197.0,743.0,1093.0,1187.0,334.0,181.0,1130.0,1362.0,890.0,1174.0,2766.0,3014.0
2022-01-01 20:00:00,396.0,356.0,2161.0,,1696.0,1729.0,2429.0,2564.0,1700.0,1671.0,1148.0,754.0,1022.0,1288.0,361.0,176.0,1118.0,1336.0,864.0,1222.0,3082.0,3098.0
2022-01-01 21:00:00,365.0,326.0,2195.0,,1820.0,1968.0,2636.0,2625.0,1901.0,1857.0,1286.0,823.0,1090.0,1216.0,290.0,155.0,1078.0,1307.0,903.0,1231.0,3382.0,3622.0
2022-01-01 22:00:00,204.0,209.0,1314.0,,1669.0,1318.0,1717.0,1885.0,1317.0,1357.0,948.0,500.0,846.0,960.0,179.0,89.0,794.0,1043.0,711.0,1113.0,2301.0,3044.0
2022-01-01 23:00:00,101.0,132.0,821.0,,908.0,955.0,1073.0,1004.0,814.0,981.0,531.0,305.0,500.0,615.0,122.0,75.0,589.0,716.0,520.0,756.0,1431.0,1852.0
